,ds,location,data_type,value
199,10-07-2020,India,deaths_new,519
200,10-07-2020,India,recovered_new,19873
201,10-07-2020,India,cases_new,27114
202,09-07-2020,India,deaths_new,475
203,09-07-2020,India,recovered_new,19135
204,09-07-2020,India,cases_new,26506
205,08-07-2020,India,deaths_new,487
206,08-07-2020,India,recovered_new,19547
207,08-07-2020,India,cases_new,24879
208,07-07-2020,India,deaths_new,483
209,07-07-2020,India,recovered_new,16897
210,07-07-2020,India,cases_new,22753
211,06-07-2020,India,deaths_new,466
212,06-07-2020,India,recovered_new,15501
213,06-07-2020,India,cases_new,22251
214,05-07-2020,India,deaths_new,425
215,05-07-2020,India,recovered_new,15350
216,05-07-2020,India,cases_new,24248
217,04-07-2020,India,deaths_new,613
218,04-07-2020,India,recovered_new,14856
219,04-07-2020,India,cases_new,24850
220,03-07-2020,India,deaths_new,442
221,03-07-2020,India,recovered_new,14335
222,03-07-2020,India,cases_new,22771
223,02-07-2020,India,deaths_new,379
224,02-07-2020,India,recovered_new,20032
225,02-07-2020,India,cases_new,20903
226,01-07-2020,India,deaths_new,434
227,01-07-2020,India,recovered_new,11948
228,01-07-2020,India,cases_new,19160
229,30-06-2020,India,deaths_new,507
230,30-06-2020,India,recovered_new,13090
231,30-06-2020,India,cases_new,18641
232,29-06-2020,India,deaths_new,418
233,29-06-2020,India,recovered_new,13099
234,29-06-2020,India,cases_new,18522
235,28-06-2020,India,deaths_new,380
236,28-06-2020,India,recovered_new,12010
237,28-06-2020,India,cases_new,19459
238,27-06-2020,India,deaths_new,410
239,27-06-2020,India,recovered_new,13832
240,27-06-2020,India,cases_new,19906
241,26-06-2020,India,deaths_new,384
242,26-06-2020,India,recovered_new,10244
243,26-06-2020,India,cases_new,18552
244,25-06-2020,India,deaths_new,407
245,25-06-2020,India,recovered_new,13940
246,25-06-2020,India,cases_new,17296
247,24-06-2020,India,deaths_new,418
248,24-06-2020,India,recovered_new,13012
249,24-06-2020,India,cases_new,16922
250,23-06-2020,India,deaths_new,465
251,23-06-2020,India,recovered_new,10495
252,23-06-2020,India,cases_new,15968
253,22-06-2020,India,deaths_new,312
254,22-06-2020,India,recovered_new,10994
255,22-06-2020,India,cases_new,14933
256,21-06-2020,India,deaths_new,445
257,21-06-2020,India,recovered_new,9468
258,21-06-2020,India,cases_new,14831
259,20-06-2020,India,deaths_new,306
260,20-06-2020,India,recovered_new,13897
261,20-06-2020,India,cases_new,15403
262,19-06-2020,India,deaths_new,375
263,19-06-2020,India,recovered_new,9120
264,19-06-2020,India,cases_new,14516
265,18-06-2020,India,deaths_new,336
266,18-06-2020,India,recovered_new,10386
267,18-06-2020,India,cases_new,13586
268,17-06-2020,India,deaths_new,334
269,17-06-2020,India,recovered_new,7390
270,17-06-2020,India,cases_new,12881
271,16-06-2020,India,deaths_new,2003
272,16-06-2020,India,recovered_new,6922
273,16-06-2020,India,cases_new,10974
274,15-06-2020,India,deaths_new,380
275,15-06-2020,India,recovered_new,10215
276,15-06-2020,India,cases_new,10667
277,14-06-2020,India,deaths_new,325
278,14-06-2020,India,recovered_new,7419
279,14-06-2020,India,cases_new,11502
280,13-06-2020,India,deaths_new,311
281,13-06-2020,India,recovered_new,8049
282,13-06-2020,India,cases_new,11929
283,12-06-2020,India,deaths_new,386
284,12-06-2020,India,cases_new,11458
285,12-06-2020,India,recovered_new,7135
286,11-06-2020,India,deaths_new,396
287,11-06-2020,India,cases_new,10930
288,11-06-2020,India,recovered_new,11989
289,10-06-2020,India,deaths_new,352
290,10-06-2020,India,cases_new,10459
291,10-06-2020,India,recovered_new,536
292,09-06-2020,India,deaths_new,277
293,09-06-2020,India,cases_new,10218
294,09-06-2020,India,recovered_new,5575
295,08-06-2020,India,deaths_new,266
296,08-06-2020,India,cases_new,8442
297,08-06-2020,India,recovered_new,5247
298,07-06-2020,India,deaths_new,261
299,07-06-2020,India,cases_new,10864
300,07-06-2020,India,recovered_new,5153
301,06-06-2020,India,deaths_new,297
302,06-06-2020,India,cases_new,10438
303,06-06-2020,India,recovered_new,5462
304,05-06-2020,India,deaths_new,286
305,05-06-2020,India,recovered_new,4783
306,05-06-2020,India,cases_new,9471
307,04-06-2020,India,deaths_new,275
308,04-06-2020,India,recovered_new,4379
309,04-06-2020,India,cases_new,9889
310,03-06-2020,India,deaths_new,259
311,03-06-2020,India,recovered_new,3786
312,03-06-2020,India,cases_new,9633
313,02-06-2020,India,deaths_new,221
314,02-06-2020,India,cases_new,8821
315,02-06-2020,India,recovered_new,4531
316,01-06-2020,India,deaths_new,200
317,01-06-2020,India,cases_new,7761
318,01-06-2020,India,recovered_new,3902
319,31-05-2020,India,deaths_new,223
320,31-05-2020,India,cases_new,8782
321,31-05-2020,India,recovered_new,4916
322,30-05-2020,India,deaths_new,205
323,30-05-2020,India,cases_new,8336
324,30-05-2020,India,recovered_new,4309
325,29-05-2020,India,deaths_new,269
326,29-05-2020,India,cases_new,8105
327,29-05-2020,India,recovered_new,11707
328,28-05-2020,India,deaths_new,177
329,28-05-2020,India,recovered_new,3171
330,28-05-2020,India,cases_new,7300
331,27-05-2020,India,deaths_new,190
332,27-05-2020,India,cases_new,7293
333,27-05-2020,India,recovered_new,3472
334,26-05-2020,India,deaths_new,172
335,26-05-2020,India,cases_new,5843
336,26-05-2020,India,recovered_new,3571
337,25-05-2020,India,deaths_new,148
338,25-05-2020,India,recovered_new,3014
339,25-05-2020,India,cases_new,6414
340,24-05-2020,India,deaths_new,156
341,24-05-2020,India,recovered_new,3307
342,24-05-2020,India,cases_new,7113
343,23-05-2020,India,deaths_new,142
344,23-05-2020,India,recovered_new,2561
345,23-05-2020,India,cases_new,6629
346,22-05-2020,India,deaths_new,142
347,22-05-2020,India,recovered_new,3271
348,22-05-2020,India,cases_new,6568
349,21-05-2020,India,deaths_new,150
350,21-05-2020,India,recovered_new,3131
351,21-05-2020,India,cases_new,6198
352,20-05-2020,India,deaths_new,132
353,20-05-2020,India,cases_new,5553
354,20-05-2020,India,recovered_new,3113
355,19-05-2020,India,deaths_new,146
356,19-05-2020,India,recovered_new,3076
357,19-05-2020,India,cases_new,6147
358,18-05-2020,India,deaths_new,131
359,18-05-2020,India,recovered_new,2438
360,18-05-2020,India,cases_new,4630
361,17-05-2020,India,deaths_new,154
362,17-05-2020,India,recovered_new,2571
363,17-05-2020,India,cases_new,5050
364,16-05-2020,India,deaths_new,118
365,16-05-2020,India,recovered_new,3966
366,16-05-2020,India,cases_new,4864
367,15-05-2020,India,deaths_new,104
368,15-05-2020,India,recovered_new,2289
369,15-05-2020,India,cases_new,3787
370,14-05-2020,India,deaths_new,98
371,14-05-2020,India,recovered_new,1569
372,14-05-2020,India,cases_new,3942
373,13-05-2020,India,deaths_new,136
374,13-05-2020,India,recovered_new,1980
375,13-05-2020,India,cases_new,3763
376,12-05-2020,India,deaths_new,121
377,12-05-2020,India,recovered_new,1871
378,12-05-2020,India,cases_new,3524
379,11-05-2020,India,deaths_new,82
380,11-05-2020,India,recovered_new,1580
381,11-05-2020,India,cases_new,3607
382,10-05-2020,India,recovered_new,1668
383,10-05-2020,India,cases_new,4353
384,10-05-2020,India,deaths_new,111
385,09-05-2020,India,recovered_new,1414
386,09-05-2020,India,cases_new,3113
387,09-05-2020,India,deaths_new,116
388,08-05-2020,India,recovered_new,1111
389,08-05-2020,India,cases_new,3344
390,08-05-2020,India,deaths_new,96
391,07-05-2020,India,recovered_new,1445
392,07-05-2020,India,cases_new,3364
393,07-05-2020,India,deaths_new,104
394,06-05-2020,India,recovered_new,1189
395,06-05-2020,India,deaths_new,92
396,06-05-2020,India,cases_new,3587
397,05-05-2020,India,recovered_new,1295
398,05-05-2020,India,cases_new,2963
399,05-05-2020,India,deaths_new,127
400,04-05-2020,India,recovered_new,1072
401,04-05-2020,India,cases_new,3932
402,04-05-2020,India,deaths_new,175
403,03-05-2020,India,recovered_new,956
404,03-05-2020,India,cases_new,2806
405,03-05-2020,India,deaths_new,68
406,02-05-2020,India,recovered_new,812
407,02-05-2020,India,cases_new,2442
408,02-05-2020,India,deaths_new,100
409,01-05-2020,India,recovered_new,939
410,01-05-2020,India,cases_new,2394
411,01-05-2020,India,deaths_new,69
412,30-04-2020,India,recovered_new,631
413,30-04-2020,India,cases_new,1801
414,30-04-2020,India,deaths_new,75
415,29-04-2020,India,recovered_new,690
416,29-04-2020,India,cases_new,1738
417,29-04-2020,India,deaths_new,71
418,28-04-2020,India,recovered_new,610
419,28-04-2020,India,cases_new,1873
420,28-04-2020,India,deaths_new,69
421,27-04-2020,India,recovered_new,614
422,27-04-2020,India,cases_new,1561
423,27-04-2020,India,deaths_new,58
424,26-04-2020,India,recovered_new,584
425,26-04-2020,India,cases_new,1607
426,26-04-2020,India,deaths_new,56
427,25-04-2020,India,recovered_new,441
428,25-04-2020,India,cases_new,1753
429,25-04-2020,India,deaths_new,45
430,24-04-2020,India,recovered_new,486
431,24-04-2020,India,cases_new,1453
432,24-04-2020,India,deaths_new,59
433,23-04-2020,India,recovered_new,642
434,23-04-2020,India,cases_new,1707
435,23-04-2020,India,deaths_new,40
436,22-04-2020,India,recovered_new,395
437,22-04-2020,India,cases_new,1290
438,22-04-2020,India,deaths_new,36
439,21-04-2020,India,recovered_new,702
440,21-04-2020,India,cases_new,1541
441,21-04-2020,India,deaths_new,53
442,20-04-2020,India,recovered_new,419
443,20-04-2020,India,cases_new,924
444,20-04-2020,India,deaths_new,33
445,19-04-2020,India,recovered_new,391
446,19-04-2020,India,cases_new,1893
447,19-04-2020,India,deaths_new,38
448,18-04-2020,India,recovered_new,422
449,18-04-2020,India,cases_new,1370
450,18-04-2020,India,deaths_new,35
451,17-04-2020,India,recovered_new,273
452,17-04-2020,India,cases_new,922
453,17-04-2020,India,deaths_new,38
454,16-04-2020,India,recovered_new,336
455,16-04-2020,India,cases_new,1108
456,16-04-2020,India,deaths_new,43
457,15-04-2020,India,cases_new,835
458,15-04-2020,India,recovered_new,73
459,15-04-2020,India,deaths_new,12
460,14-04-2020,India,cases_new,1034
461,14-04-2020,India,recovered_new,178
462,14-04-2020,India,deaths_new,35
463,13-04-2020,India,cases_new,1248
464,13-04-2020,India,recovered_new,101
