room_type,reviews,overall_satisfaction,accommodates,bedrooms,price
Entire home/apt,0,0,9,3,2500
Entire home/apt,0,0,3,1,1500
Entire home/apt,0,0,13,4,3000
Entire home/apt,0,0,8,4,1750
Entire home/apt,0,0,8,4,2000
Entire home/apt,0,0,10,5,2159
Entire home/apt,0,0,4,2,2000
Entire home/apt,0,0,4,2,1600
Entire home/apt,0,0,6,3,2000
Entire home/apt,0,0,8,2,2000
Entire home/apt,0,0,6,3,1500
Entire home/apt,0,0,4,1,1900
Entire home/apt,0,0,5,2,1750
Entire home/apt,0,0,10,4,3500
Entire home/apt,0,0,8,3,2164
Entire home/apt,0,0,8,5,2200
Entire home/apt,0,0,4,2,2000
Entire home/apt,0,0,6,3,2000
Entire home/apt,0,0,6,3,1750
Entire home/apt,0,0,8,4,2000
Entire home/apt,0,0,8,3,2000
Entire home/apt,0,0,8,3,1900
Entire home/apt,0,0,5,0,2700
Entire home/apt,0,0,8,4,3600
Entire home/apt,0,0,10,5,5500
Entire home/apt,0,0,12,5,2490
Entire home/apt,0,0,6,2,1900
Entire home/apt,0,0,8,3,2000
Entire home/apt,0,0,7,4,1950
Entire home/apt,0,0,6,2,2000
Entire home/apt,0,0,10,4,3000
Entire home/apt,0,0,2,1,2000
Entire home/apt,0,0,4,1,2800
Entire home/apt,0,0,6,3,2500
Entire home/apt,0,0,7,4,3500
Entire home/apt,0,0,5,3,1750
Entire home/apt,0,0,5,2,2000
Entire home/apt,0,0,10,4,3000
Entire home/apt,0,0,6,3,3200
Entire home/apt,0,0,5,3,1700
Entire home/apt,0,0,6,3,2500
Entire home/apt,0,0,8,3,1750
Entire home/apt,5,4.5,8,5,1750
Entire home/apt,0,0,4,2,3000
Entire home/apt,0,0,12,6,3799
Entire home/apt,0,0,6,4,1800
Entire home/apt,0,0,6,2,2500
Entire home/apt,0,0,8,4,3000
Entire home/apt,0,0,4,1,2000
Entire home/apt,0,0,5,3,1700
Entire home/apt,0,0,4,1,1700
Entire home/apt,0,0,11,5,2500
Entire home/apt,0,0,4,1,2000
Entire home/apt,0,0,8,3,3000
Entire home/apt,0,0,5,3,5000
Entire home/apt,0,0,4,2,2000
Entire home/apt,0,0,4,2,1700
Entire home/apt,0,0,10,4,2199
Entire home/apt,0,0,8,4,5000
Entire home/apt,0,0,6,2,2000
Entire home/apt,0,0,10,5,2000
Entire home/apt,0,0,10,4,2967
Entire home/apt,0,0,4,2,2000
Entire home/apt,1,0,5,2,2800
Entire home/apt,0,0,10,5,2500
Entire home/apt,0,0,5,1,1500
Entire home/apt,0,0,12,4,4000
Entire home/apt,0,0,16,6,5000
Entire home/apt,0,0,5,2,1612
Entire home/apt,0,0,8,4,2250
Entire home/apt,0,0,8,4,3000
Entire home/apt,0,0,8,3,2700
Entire home/apt,0,0,8,4,5000
Entire home/apt,0,0,6,2,1750
Entire home/apt,0,0,6,2,2000
Entire home/apt,0,0,4,4,2500
Entire home/apt,0,0,8,4,1925
Entire home/apt,0,0,8,3,2000
Entire home/apt,0,0,9,3,2000
Entire home/apt,0,0,6,3,1500
Entire home/apt,0,0,8,4,1707
Entire home/apt,2,0,7,4,2200
Entire home/apt,0,0,4,2,2000
Entire home/apt,0,0,6,3,2000
Entire home/apt,0,0,6,3,1999
Entire home/apt,0,0,8,4,4000
Entire home/apt,0,0,9,3,2800
Entire home/apt,0,0,9,3,2450
Entire home/apt,0,0,7,3,2800
Entire home/apt,0,0,6,3,2000
Entire home/apt,0,0,12,5,5995
Entire home/apt,0,0,10,3,4000
Entire home/apt,0,0,9,2,2500
Entire home/apt,0,0,8,3,1200
Entire home/apt,0,0,7,3,1199
Entire home/apt,0,0,6,3,1200
Entire home/apt,0,0,4,2,1200
Entire home/apt,0,0,6,2,1050
Entire home/apt,0,0,4,2,1100
Entire home/apt,0,0,8,4,1500
Entire home/apt,0,0,4,2,1050
Entire home/apt,0,0,5,2,1400
Entire home/apt,0,0,6,2,1350
Entire home/apt,2,0,8,3,1500
Entire home/apt,0,0,7,2,1200
Entire home/apt,0,0,6,2,1075
Entire home/apt,0,0,4,1,1100
Entire home/apt,0,0,8,3,1150
Entire home/apt,0,0,10,4,1499
Entire home/apt,0,0,5,2,1500
Entire home/apt,0,0,6,3,1200
Entire home/apt,0,0,5,2,1150
Entire home/apt,0,0,7,3,1500
Entire home/apt,0,0,4,2,1200
Entire home/apt,0,0,4,2,1075
Entire home/apt,0,0,6,3,1200
Entire home/apt,0,0,5,3,1100
Entire home/apt,0,0,6,2,1500
Entire home/apt,0,0,5,2,1500
Entire home/apt,0,0,5,2,1100
Entire home/apt,0,0,4,1,1300
Entire home/apt,0,0,6,3,1500
Entire home/apt,0,0,6,3,1200
Entire home/apt,0,0,6,3,1500
Entire home/apt,0,0,5,3,1350
Entire home/apt,0,0,9,3,1450
Entire home/apt,0,0,6,3,1500
Entire home/apt,7,5,6,4,1200
Entire home/apt,2,0,6,5,1050
Entire home/apt,0,0,6,2,1111
Entire home/apt,0,0,4,2,1500
Entire home/apt,0,0,6,3,1100
Entire home/apt,0,0,6,3,1200
Entire home/apt,0,0,8,2,1500
Entire home/apt,1,0,8,3,1300
Entire home/apt,0,0,6,3,1400
Entire home/apt,0,0,4,1,1400
Entire home/apt,0,0,6,2,1200
Entire home/apt,0,0,8,3,1250
Entire home/apt,0,0,7,3,1500
Entire home/apt,0,0,6,2,1250
Entire home/apt,0,0,8,3,1250
Entire home/apt,1,0,6,4,1250
Entire home/apt,2,0,16,10,1325
Entire home/apt,0,0,7,2,1250
Entire home/apt,0,0,6,2,1350
Entire home/apt,0,0,5,3,650
Entire home/apt,12,4,12,5,675
Entire home/apt,6,5,4,2,309
Entire home/apt,0,0,3,2,225
Entire home/apt,0,0,3,0,219
Entire home/apt,10,5,4,1,234
Entire home/apt,0,0,6,2,1399
Entire home/apt,2,0,5,2,1400
Entire home/apt,19,4.5,3,1,1200
Entire home/apt,1,0,8,4,1250
Entire home/apt,0,0,8,3,995
Entire home/apt,2,0,10,3,862
Entire home/apt,0,0,3,2,1000
Entire home/apt,0,0,5,2,743
Entire home/apt,1,0,6,2,800
Entire home/apt,0,0,10,4,947
Entire home/apt,0,0,8,3,1000
Entire home/apt,0,0,6,1,800
Entire home/apt,0,0,3,1,1000
Entire home/apt,0,0,3,3,883
Entire home/apt,0,0,5,2,750
Entire home/apt,0,0,5,2,750
Entire home/apt,0,0,7,3,950
Entire home/apt,2,0,4,2,800
Entire home/apt,0,0,4,1,750
Entire home/apt,1,0,6,2,950
Entire home/apt,0,0,4,3,850
Entire home/apt,0,0,2,0,1000
Entire home/apt,0,0,4,2,867
Entire home/apt,0,0,8,4,1000
Entire home/apt,1,0,4,1,950
Entire home/apt,0,0,8,4,850
Entire home/apt,0,0,2,1,850
Entire home/apt,0,0,5,2,800
Entire home/apt,0,0,5,2,743
Entire home/apt,0,0,6,3,950
Entire home/apt,0,0,4,1,1000
Entire home/apt,0,0,12,4,850
Entire home/apt,0,0,4,2,775
Entire home/apt,0,0,10,4,1000
Entire home/apt,0,0,6,3,1000
Entire home/apt,0,0,4,1,850
Entire home/apt,0,0,4,2,850
Entire home/apt,0,0,10,5,850
Entire home/apt,0,0,5,2,750
Entire home/apt,0,0,4,1,800
Entire home/apt,1,0,8,4,750
Entire home/apt,0,0,2,1,950
Entire home/apt,0,0,6,2,1000
Entire home/apt,0,0,8,4,800
Entire home/apt,0,0,5,2,800
Entire home/apt,0,0,5,2,1000
Entire home/apt,0,0,9,3,825
Entire home/apt,3,5,9,4,995
Entire home/apt,0,0,8,3,1000
Entire home/apt,0,0,4,2,800
Entire home/apt,0,0,6,3,800
Entire home/apt,0,0,4,2,900
Entire home/apt,1,0,5,2,900
Entire home/apt,0,0,6,3,900
Entire home/apt,0,0,5,2,750
Entire home/apt,0,0,6,2,899
Entire home/apt,0,0,3,1,900
Entire home/apt,0,0,4,1,1000
Entire home/apt,0,0,8,3,925
Entire home/apt,0,0,2,0,999
Entire home/apt,0,0,3,1,750
Entire home/apt,0,0,6,2,800
Entire home/apt,0,0,6,2,800
Entire home/apt,0,0,7,3,900
Entire home/apt,0,0,3,1,750
Entire home/apt,0,0,6,3,750
Entire home/apt,0,0,6,2,750
Entire home/apt,0,0,4,1,700
Entire home/apt,0,0,4,1,1000
Entire home/apt,0,0,3,1,1000
Entire home/apt,0,0,4,2,818
Entire home/apt,0,0,8,4,775
Entire home/apt,0,0,8,5,974
Entire home/apt,0,0,5,4,800
Entire home/apt,0,0,4,1,800
Entire home/apt,0,0,8,4,1000
Entire home/apt,1,0,6,3,1000
Entire home/apt,0,0,3,0,900
Entire home/apt,0,0,4,1,950
Entire home/apt,0,0,6,2,1000
Entire home/apt,0,0,8,2,850
Entire home/apt,0,0,6,2,1000
Entire home/apt,0,0,7,2,800
Entire home/apt,0,0,6,2,800
Entire home/apt,0,0,14,5,1000
Entire home/apt,0,0,2,2,800
Entire home/apt,4,5,11,6,750
Entire home/apt,0,0,3,1,800
Entire home/apt,0,0,3,1,800
Entire home/apt,0,0,6,2,750
Entire home/apt,0,0,3,1,750
Entire home/apt,0,0,2,1,850
Entire home/apt,0,0,2,1,900
Entire home/apt,0,0,6,2,750
Entire home/apt,0,0,4,1,800
Entire home/apt,0,0,6,2,1000
Entire home/apt,0,0,4,1,775
Entire home/apt,4,5,6,3,739
Entire home/apt,0,0,8,4,940
Entire home/apt,1,0,4,2,799
Entire home/apt,0,0,12,5,1000
Entire home/apt,0,0,6,2,950
Entire home/apt,0,0,6,4,1000
Entire home/apt,1,0,14,5,750
Entire home/apt,0,0,7,2,1000
