"","ds","location","data_type","value"
"219",2020-07-05,"US","cases_new",49883
"220",2020-07-04,"US","recovered_new",103921
"221",2020-07-04,"US","deaths_new",265
"222",2020-07-04,"US","cases_new",45880
"223",2020-07-03,"US","recovered_new",8434
"224",2020-07-03,"US","deaths_new",660
"225",2020-07-03,"US","cases_new",53312
"226",2020-07-02,"US","recovered_new",51976
"227",2020-07-02,"US","deaths_new",727
"228",2020-07-02,"US","cases_new",54461
"229",2020-07-01,"US","recovered_new",9363
"230",2020-07-01,"US","deaths_new",694
"231",2020-07-01,"US","cases_new",51174
"232",2020-06-30,"US","recovered_new",15428
"233",2020-06-30,"US","deaths_new",625
"234",2020-06-30,"US","cases_new",45746
"235",2020-06-29,"US","recovered_new",20039
"236",2020-06-29,"US","deaths_new",377
"237",2020-06-29,"US","cases_new",40804
"238",2020-06-28,"US","recovered_new",5856
"239",2020-06-28,"US","deaths_new",273
"240",2020-06-28,"US","cases_new",39605
"241",2020-06-27,"US","recovered_new",8499
"242",2020-06-27,"US","deaths_new",504
"243",2020-06-27,"US","cases_new",42705
"244",2020-06-26,"US","recovered_new",7247
"245",2020-06-26,"US","deaths_new",617
"246",2020-06-26,"US","cases_new",45255
"247",2020-06-25,"US","recovered_new",7401
"248",2020-06-25,"US","deaths_new",551
"249",2020-06-25,"US","cases_new",39873
"250",2020-06-24,"US","recovered_new",8613
"251",2020-06-24,"US","deaths_new",759
"252",2020-06-24,"US","cases_new",34935
"253",2020-06-23,"US","recovered_new",7350
"254",2020-06-23,"US","deaths_new",847
"255",2020-06-23,"US","cases_new",35188
"256",2020-06-22,"US","recovered_new",18065
"257",2020-06-22,"US","deaths_new",389
"258",2020-06-22,"US","cases_new",30536
"259",2020-06-21,"US","recovered_new",4673
"260",2020-06-21,"US","deaths_new",285
"261",2020-06-21,"US","cases_new",26439
"262",2020-06-20,"US","recovered_new",10745
"263",2020-06-20,"US","deaths_new",604
"264",2020-06-20,"US","cases_new",32749
"265",2020-06-19,"US","recovered_new",7600
"266",2020-06-19,"US","deaths_new",670
"267",2020-06-19,"US","cases_new",31480
"268",2020-06-18,"US","recovered_new",6924
"269",2020-06-18,"US","deaths_new",718
"270",2020-06-18,"US","cases_new",27809
"271",2020-06-17,"US","recovered_new",8688
"272",2020-06-17,"US","deaths_new",744
"273",2020-06-17,"US","cases_new",25559
"274",2020-06-16,"US","recovered_new",7169
"275",2020-06-16,"US","deaths_new",838
"276",2020-06-16,"US","cases_new",23705
"277",2020-06-15,"US","recovered_new",14518
"278",2020-06-15,"US","deaths_new",394
"279",2020-06-15,"US","cases_new",19660
"280",2020-06-14,"US","recovered_new",5210
"281",2020-06-14,"US","deaths_new",308
"282",2020-06-14,"US","cases_new",19824
"283",2020-06-13,"US","recovered_new",9220
"284",2020-06-13,"US","deaths_new",759
"285",2020-06-13,"US","cases_new",25556
"286",2020-06-12,"US","recovered_new",7094
"287",2020-06-12,"US","deaths_new",828
"288",2020-06-12,"US","cases_new",25330
"289",2020-06-11,"US","recovered_new",6788
"290",2020-06-11,"US","deaths_new",871
"291",2020-06-11,"US","cases_new",22950
"292",2020-06-10,"US","recovered_new",8649
"293",2020-06-10,"US","deaths_new",901
"294",2020-06-10,"US","cases_new",20794
"295",2020-06-09,"US","recovered_new",6333
"296",2020-06-09,"US","deaths_new",950
"297",2020-06-09,"US","cases_new",18127
"298",2020-06-08,"US","recovered_new",12155
"299",2020-06-08,"US","deaths_new",519
"300",2020-06-08,"US","cases_new",17415
"301",2020-06-07,"US","recovered_new",5518
"302",2020-06-07,"US","deaths_new",438
"303",2020-06-07,"US","cases_new",17731
"304",2020-06-06,"US","recovered_new",9143
"305",2020-06-06,"US","deaths_new",659
"306",2020-06-06,"US","cases_new",22732
"307",2020-06-05,"US","recovered_new",6704
"308",2020-06-05,"US","deaths_new",914
"309",2020-06-05,"US","cases_new",25224
"310",2020-06-04,"US","recovered_new",5744
"311",2020-06-04,"US","deaths_new",1023
"312",2020-06-04,"US","cases_new",21351
"313",2020-06-03,"US","recovered_new",15390
